Conversation_no,Turn_no,QID,Question,Answer,Entity,Salience
62,3,62-3,Tell me about the Surrealism movement's founding.,"Founded by the poet André Breton in Paris in 1924, Surrealism was an artistic and literary movement. It proposed that the Enlightenment—the influential 17th- and 18th-century intellectual movement that championed reason and individualism—had suppressed the superior qualities of the irrational, unconscious mind.",André Breton,1.0
62,3,62-3,Tell me about the Surrealism movement's founding.,"Founded by the poet André Breton in Paris in 1924, Surrealism was an artistic and literary movement. It proposed that the Enlightenment—the influential 17th- and 18th-century intellectual movement that championed reason and individualism—had suppressed the superior qualities of the irrational, unconscious mind.",Intellectual,2.0
62,3,62-3,Tell me about the Surrealism movement's founding.,"Founded by the poet André Breton in Paris in 1924, Surrealism was an artistic and literary movement. It proposed that the Enlightenment—the influential 17th- and 18th-century intellectual movement that championed reason and individualism—had suppressed the superior qualities of the irrational, unconscious mind.",Ultraist movement,1.3333333333333333
62,3,62-3,Tell me about the Surrealism movement's founding.,"Founded by the poet André Breton in Paris in 1924, Surrealism was an artistic and literary movement. It proposed that the Enlightenment—the influential 17th- and 18th-century intellectual movement that championed reason and individualism—had suppressed the superior qualities of the irrational, unconscious mind.",Paris,1.6666666666666667
64,1,64-1,What are the types of pork ribs?,"Types of Pork RibsBaby Back Ribs. Baby back ribs are sometimes known as loin back or just back ribs. ...Pork Spareribs. Spare ribs are found much lower in the pig, nearer to the belly. ...St. Louis Style Ribs. St. Louis Style ribs are actually from the same part of the rib cage as spareribs. ...Country Style Pork Ribs.",Pork ribs,1.0
64,1,64-1,What are the types of pork ribs?,"Types of Pork RibsBaby Back Ribs. Baby back ribs are sometimes known as loin back or just back ribs. ...Pork Spareribs. Spare ribs are found much lower in the pig, nearer to the belly. ...St. Louis Style Ribs. St. Louis Style ribs are actually from the same part of the rib cage as spareribs. ...Country Style Pork Ribs.",Abdomen,1.5
64,1,64-1,What are the types of pork ribs?,"Types of Pork RibsBaby Back Ribs. Baby back ribs are sometimes known as loin back or just back ribs. ...Pork Spareribs. Spare ribs are found much lower in the pig, nearer to the belly. ...St. Louis Style Ribs. St. Louis Style ribs are actually from the same part of the rib cage as spareribs. ...Country Style Pork Ribs.",Ribs (food),0.5
64,1,64-1,What are the types of pork ribs?,"Types of Pork RibsBaby Back Ribs. Baby back ribs are sometimes known as loin back or just back ribs. ...Pork Spareribs. Spare ribs are found much lower in the pig, nearer to the belly. ...St. Louis Style Ribs. St. Louis Style ribs are actually from the same part of the rib cage as spareribs. ...Country Style Pork Ribs.",St. Louis-style barbecue,0.5
64,1,64-1,What are the types of pork ribs?,"Types of Pork RibsBaby Back Ribs. Baby back ribs are sometimes known as loin back or just back ribs. ...Pork Spareribs. Spare ribs are found much lower in the pig, nearer to the belly. ...St. Louis Style Ribs. St. Louis Style ribs are actually from the same part of the rib cage as spareribs. ...Country Style Pork Ribs.",Spare ribs,1.5
64,3,64-3,What are the differences between baby back ribs and spareribs?,"Baby back ribs (bottom of photo) are cut from the top of the rib cage, near the backbone. Spareribs (top of photo) are cut from the bottom of the rib cage, and sometimes they include the brisket, which is a bony piece of meat that hangs from the bottom.",Pork ribs,1.5
64,3,64-3,What are the differences between baby back ribs and spareribs?,"Baby back ribs (bottom of photo) are cut from the top of the rib cage, near the backbone. Spareribs (top of photo) are cut from the bottom of the rib cage, and sometimes they include the brisket, which is a bony piece of meat that hangs from the bottom.",Vertebral column,1.0
64,3,64-3,What are the differences between baby back ribs and spareribs?,"Baby back ribs (bottom of photo) are cut from the top of the rib cage, near the backbone. Spareribs (top of photo) are cut from the bottom of the rib cage, and sometimes they include the brisket, which is a bony piece of meat that hangs from the bottom.",Meat,1.5
64,3,64-3,What are the differences between baby back ribs and spareribs?,"Baby back ribs (bottom of photo) are cut from the top of the rib cage, near the backbone. Spareribs (top of photo) are cut from the bottom of the rib cage, and sometimes they include the brisket, which is a bony piece of meat that hangs from the bottom.",Buttocks,0.5
64,3,64-3,What are the differences between baby back ribs and spareribs?,"Baby back ribs (bottom of photo) are cut from the top of the rib cage, near the backbone. Spareribs (top of photo) are cut from the bottom of the rib cage, and sometimes they include the brisket, which is a bony piece of meat that hangs from the bottom.",Brisket,1.0
67,1,67-1,Why is blood red?,"Each hemoglobin protein is made up subunits called hemes, which are what give blood its red color. More specifically, the hemes can bind iron molecules, and these iron molecules bind oxygen.",Red,1.3333333333333333
67,1,67-1,Why is blood red?,"Each hemoglobin protein is made up subunits called hemes, which are what give blood its red color. More specifically, the hemes can bind iron molecules, and these iron molecules bind oxygen.",Molecule,1.3333333333333333
67,1,67-1,Why is blood red?,"Each hemoglobin protein is made up subunits called hemes, which are what give blood its red color. More specifically, the hemes can bind iron molecules, and these iron molecules bind oxygen.",Oxygen,1.3333333333333333
67,1,67-1,Why is blood red?,"Each hemoglobin protein is made up subunits called hemes, which are what give blood its red color. More specifically, the hemes can bind iron molecules, and these iron molecules bind oxygen.",Heme,1.3333333333333333
67,1,67-1,Why is blood red?,"Each hemoglobin protein is made up subunits called hemes, which are what give blood its red color. More specifically, the hemes can bind iron molecules, and these iron molecules bind oxygen.",Hemoglobin,1.3333333333333333
67,2,67-2,What are red blood cells?,"The main job of red blood cells, or erythrocytes, is to carry oxygen from the lungs to the body tissues and carbon dioxide as a waste product, away from the tissues and back to the lungs. Hemoglobin (Hgb) is an important protein in the red blood cells that carries oxygen from the lungs to all parts of our body.",Waste,1.25
67,2,67-2,What are red blood cells?,"The main job of red blood cells, or erythrocytes, is to carry oxygen from the lungs to the body tissues and carbon dioxide as a waste product, away from the tissues and back to the lungs. Hemoglobin (Hgb) is an important protein in the red blood cells that carries oxygen from the lungs to all parts of our body.",Carbon dioxide,1.75
67,2,67-2,What are red blood cells?,"The main job of red blood cells, or erythrocytes, is to carry oxygen from the lungs to the body tissues and carbon dioxide as a waste product, away from the tissues and back to the lungs. Hemoglobin (Hgb) is an important protein in the red blood cells that carries oxygen from the lungs to all parts of our body.",Red blood cell,1.5
67,2,67-2,What are red blood cells?,"The main job of red blood cells, or erythrocytes, is to carry oxygen from the lungs to the body tissues and carbon dioxide as a waste product, away from the tissues and back to the lungs. Hemoglobin (Hgb) is an important protein in the red blood cells that carries oxygen from the lungs to all parts of our body.",Parts-per notation,1.0
67,2,67-2,What are red blood cells?,"The main job of red blood cells, or erythrocytes, is to carry oxygen from the lungs to the body tissues and carbon dioxide as a waste product, away from the tissues and back to the lungs. Hemoglobin (Hgb) is an important protein in the red blood cells that carries oxygen from the lungs to all parts of our body.",Tissue (biology),2.0
67,3,67-3,How are red blood cells created?,"Production of red blood cells is controlled by erythropoietin, a hormone produced primarily by the kidneys. Red blood cells start as immature cells in the bone marrow and after approximately seven days of maturation are released into the bloodstream.",Erythropoietin,1.75
67,3,67-3,How are red blood cells created?,"Production of red blood cells is controlled by erythropoietin, a hormone produced primarily by the kidneys. Red blood cells start as immature cells in the bone marrow and after approximately seven days of maturation are released into the bloodstream.",Cellular differentiation,0.75
67,3,67-3,How are red blood cells created?,"Production of red blood cells is controlled by erythropoietin, a hormone produced primarily by the kidneys. Red blood cells start as immature cells in the bone marrow and after approximately seven days of maturation are released into the bloodstream.",Kidney,1.5
67,3,67-3,How are red blood cells created?,"Production of red blood cells is controlled by erythropoietin, a hormone produced primarily by the kidneys. Red blood cells start as immature cells in the bone marrow and after approximately seven days of maturation are released into the bloodstream.",Red blood cell,1.5
67,3,67-3,How are red blood cells created?,"Production of red blood cells is controlled by erythropoietin, a hormone produced primarily by the kidneys. Red blood cells start as immature cells in the bone marrow and after approximately seven days of maturation are released into the bloodstream.",Circulatory system,1.25
70,1,70-1,What is solar energy?,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis.",Solar thermal energy,1.5
70,1,70-1,What is solar energy?,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis.",Technology,1.5
70,1,70-1,What is solar energy?,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis.",Sun,2.0
70,1,70-1,What is solar energy?,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis.",Artificial photosynthesis,0.5
70,1,70-1,What is solar energy?,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of ever-evolving technologies such as solar heating, photovoltaics, solar thermal energy, solar architecture, molten salt power plants and artificial photosynthesis.",Heat,2.0
70,2,70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.",Mitosis,1.25
70,2,70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.",Seawater,1.25
70,2,70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.",Plant,1.25
70,2,70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.",Sunlight,1.25
70,2,70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.",Towel,1.0
71,1,71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",Neocortex,1.0
71,1,71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",Female,1.5
71,1,71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",Mammal,1.6
71,1,71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",Hair,0.75
71,1,71-1,What are mammals?,"Mammals are vertebrate animals constituting the class Mammalia, and characterized by the presence of mammary glands which in females produce milk for feeding their young, a neocortex, fur or hair, and three middle ear bones.",Ossicles,1.25
71,2,71-2,What are mammals' key characteristics?,"On the following slides, youll learn about the eight main mammal characteristics, ranging from hair to four-chambered hearts.Hair and Fur. ...Mammary Glands. ...Single-Boned Lower Jaws. ...One-Time Tooth Replacement. ...Three Bones in the Middle Ear. ...Warm-Blooded Metabolisms. ...Diaphragms. ...Four-Chambered Hearts.",Heart,1.3333333333333333
71,2,71-2,What are mammals' key characteristics?,"On the following slides, youll learn about the eight main mammal characteristics, ranging from hair to four-chambered hearts.Hair and Fur. ...Mammary Glands. ...Single-Boned Lower Jaws. ...One-Time Tooth Replacement. ...Three Bones in the Middle Ear. ...Warm-Blooded Metabolisms. ...Diaphragms. ...Four-Chambered Hearts.",Bone,1.3333333333333333
71,2,71-2,What are mammals' key characteristics?,"On the following slides, youll learn about the eight main mammal characteristics, ranging from hair to four-chambered hearts.Hair and Fur. ...Mammary Glands. ...Single-Boned Lower Jaws. ...One-Time Tooth Replacement. ...Three Bones in the Middle Ear. ...Warm-Blooded Metabolisms. ...Diaphragms. ...Four-Chambered Hearts.",Middle ear,1.0
71,2,71-2,What are mammals' key characteristics?,"On the following slides, youll learn about the eight main mammal characteristics, ranging from hair to four-chambered hearts.Hair and Fur. ...Mammary Glands. ...Single-Boned Lower Jaws. ...One-Time Tooth Replacement. ...Three Bones in the Middle Ear. ...Warm-Blooded Metabolisms. ...Diaphragms. ...Four-Chambered Hearts.",Metabolism,2.0
71,2,71-2,What are mammals' key characteristics?,"On the following slides, youll learn about the eight main mammal characteristics, ranging from hair to four-chambered hearts.Hair and Fur. ...Mammary Glands. ...Single-Boned Lower Jaws. ...One-Time Tooth Replacement. ...Three Bones in the Middle Ear. ...Warm-Blooded Metabolisms. ...Diaphragms. ...Four-Chambered Hearts.",Hair,1.6666666666666667
78,1,78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.",Carbohydrate,1.5
78,1,78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.",Epilepsy,0.75
78,1,78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.",Fat,1.25
78,1,78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.",Human body,1.75
78,1,78-1,What is the keto diet?,"The ketogenic diet is a high-fat, adequate-protein, low-carbohydrate diet that in medicine is used primarily to treat difficult-to-control epilepsy in children. The diet forces the body to burn fats rather than carbohydrates.",Medicine,1.0
78,2,78-2,Why was keto diet originally developed?,His trial on a few epilepsy patients in 1921 was the first use of the ketogenic diet as a treatment for epilepsy. .,Therapy,1.6666666666666667
78,2,78-2,Why was keto diet originally developed?,His trial on a few epilepsy patients in 1921 was the first use of the ketogenic diet as a treatment for epilepsy. .,Epilepsy,1.6666666666666667
78,2,78-2,Why was keto diet originally developed?,His trial on a few epilepsy patients in 1921 was the first use of the ketogenic diet as a treatment for epilepsy. .,Patient,1.0
78,2,78-2,Why was keto diet originally developed?,His trial on a few epilepsy patients in 1921 was the first use of the ketogenic diet as a treatment for epilepsy. .,Ketogenic diet,1.3333333333333333
78,3,78-3,What is ketosis?,"Ketosis is a normal metabolic process. When the body does not have enough glucose for energy, it burns stored fats instead; this results in a build-up of acids called ketones within the body.",Ketosis,1.75
78,3,78-3,What is ketosis?,"Ketosis is a normal metabolic process. When the body does not have enough glucose for energy, it burns stored fats instead; this results in a build-up of acids called ketones within the body.",Metabolism,1.0
78,3,78-3,What is ketosis?,"Ketosis is a normal metabolic process. When the body does not have enough glucose for energy, it burns stored fats instead; this results in a build-up of acids called ketones within the body.",Glucose,1.25
78,3,78-3,What is ketosis?,"Ketosis is a normal metabolic process. When the body does not have enough glucose for energy, it burns stored fats instead; this results in a build-up of acids called ketones within the body.",Acid,1.25
78,3,78-3,What is ketosis?,"Ketosis is a normal metabolic process. When the body does not have enough glucose for energy, it burns stored fats instead; this results in a build-up of acids called ketones within the body.",Energy,1.75
80,1,80-1,What were the purposes of the Lewis and Clark expedition?,"Their mission was to explore the unknown territory, establish trade with the Natives and affirm the sovereignty of the United States in the region.",Sovereignty,2.0
80,1,80-1,What were the purposes of the Lewis and Clark expedition?,"Their mission was to explore the unknown territory, establish trade with the Natives and affirm the sovereignty of the United States in the region.",Middle East,1.0
80,2,80-2,What were important plants and animals Lewis and Clark discovered?,Black greasewood (Sarcobatus vermiculatus)Blue flax (Linum lewisii)Buffaloberry (Shepherdia argentea)Curly-top gumweed (Grindelia squarrosa)Fringed sagebrush (Artemisia ludoviciana)Indian tobacco (Nicotiana quadrivalvis)Lanceleaf sage (Salvia reflexa)Shadscale (Atriplex canescens),Grindelia,1.5
80,2,80-2,What were important plants and animals Lewis and Clark discovered?,Black greasewood (Sarcobatus vermiculatus)Blue flax (Linum lewisii)Buffaloberry (Shepherdia argentea)Curly-top gumweed (Grindelia squarrosa)Fringed sagebrush (Artemisia ludoviciana)Indian tobacco (Nicotiana quadrivalvis)Lanceleaf sage (Salvia reflexa)Shadscale (Atriplex canescens),Linum lewisii,1.0
80,2,80-2,What were important plants and animals Lewis and Clark discovered?,Black greasewood (Sarcobatus vermiculatus)Blue flax (Linum lewisii)Buffaloberry (Shepherdia argentea)Curly-top gumweed (Grindelia squarrosa)Fringed sagebrush (Artemisia ludoviciana)Indian tobacco (Nicotiana quadrivalvis)Lanceleaf sage (Salvia reflexa)Shadscale (Atriplex canescens),Nicotiana,2.0
80,2,80-2,What were important plants and animals Lewis and Clark discovered?,Black greasewood (Sarcobatus vermiculatus)Blue flax (Linum lewisii)Buffaloberry (Shepherdia argentea)Curly-top gumweed (Grindelia squarrosa)Fringed sagebrush (Artemisia ludoviciana)Indian tobacco (Nicotiana quadrivalvis)Lanceleaf sage (Salvia reflexa)Shadscale (Atriplex canescens),Atriplex,1.0
80,2,80-2,What were important plants and animals Lewis and Clark discovered?,Black greasewood (Sarcobatus vermiculatus)Blue flax (Linum lewisii)Buffaloberry (Shepherdia argentea)Curly-top gumweed (Grindelia squarrosa)Fringed sagebrush (Artemisia ludoviciana)Indian tobacco (Nicotiana quadrivalvis)Lanceleaf sage (Salvia reflexa)Shadscale (Atriplex canescens),Artemisia ludoviciana,1.5
184,1,184-1,Did Hansie Cronje make any debuts?,Hansie Cronje made his first-class debut for Orange Free State against Transvaal at Johannesburg in January 1988 at the age of 18.,Transvaal Province,1.0
184,1,184-1,Did Hansie Cronje make any debuts?,Hansie Cronje made his first-class debut for Orange Free State against Transvaal at Johannesburg in January 1988 at the age of 18.,Orange Free State,2.0
184,1,184-1,Did Hansie Cronje make any debuts?,Hansie Cronje made his first-class debut for Orange Free State against Transvaal at Johannesburg in January 1988 at the age of 18.,Johannesburg,1.0
184,3,184-3,Did Hansie Cronje complete any tours?,"Hansie Cronje was part of the tour to the West Indies; he featured in the three ODIs. In the Test match at Bridgetown that followed, he made his Test debut.",One Day International,1.6666666666666667
184,3,184-3,Did Hansie Cronje complete any tours?,"Hansie Cronje was part of the tour to the West Indies; he featured in the three ODIs. In the Test match at Bridgetown that followed, he made his Test debut.",Hansie Cronje,1.3333333333333333
184,3,184-3,Did Hansie Cronje complete any tours?,"Hansie Cronje was part of the tour to the West Indies; he featured in the three ODIs. In the Test match at Bridgetown that followed, he made his Test debut.",West Indies cricket team,1.6666666666666667
184,3,184-3,Did Hansie Cronje complete any tours?,"Hansie Cronje was part of the tour to the West Indies; he featured in the three ODIs. In the Test match at Bridgetown that followed, he made his Test debut.",Kensington Oval,1.0
184,3,184-3,Did Hansie Cronje complete any tours?,"Hansie Cronje was part of the tour to the West Indies; he featured in the three ODIs. In the Test match at Bridgetown that followed, he made his Test debut.",Test cricket,0.6666666666666666
312,1,312-1,What happened at the battle of Zacatecas?,Pancho Villas victory at the battle of Zacatecas in June 1914 broke the back of the Huerta regime.,Victoriano Huerta,1.0
312,1,312-1,What happened at the battle of Zacatecas?,Pancho Villas victory at the battle of Zacatecas in June 1914 broke the back of the Huerta regime.,Pancho Villa,2.0
312,1,312-1,What happened at the battle of Zacatecas?,Pancho Villas victory at the battle of Zacatecas in June 1914 broke the back of the Huerta regime.,Zacatecas,2.0
312,1,312-1,What happened at the battle of Zacatecas?,Pancho Villas victory at the battle of Zacatecas in June 1914 broke the back of the Huerta regime.,Battle of Fredericksburg,1.0
312,2,312-2,How did Pancho Villa break the back of the Huerta regime?,"After Pancho Villas victory at Zacatecas in June 1914, Huerta left the country on 14 July 1914. The Federal Army collapsed, ceasing to exist as an institution.",Zacatecas,1.0
312,2,312-2,How did Pancho Villa break the back of the Huerta regime?,"After Pancho Villas victory at Zacatecas in June 1914, Huerta left the country on 14 July 1914. The Federal Army collapsed, ceasing to exist as an institution.",Mexico,1.0
312,2,312-2,How did Pancho Villa break the back of the Huerta regime?,"After Pancho Villas victory at Zacatecas in June 1914, Huerta left the country on 14 July 1914. The Federal Army collapsed, ceasing to exist as an institution.",Federal Army,1.5
312,3,312-3,Were there many casualties at the Battle of Zacatecas in 1914?,"In the Toma de Zacatecas, the single bloodiest battle of the Revolution, Federal casualties numbered approximately 7,000 dead and 5,000 wounded, and unknown numbers of civilian casualties.",Civilian casualties,1.5
312,3,312-3,Were there many casualties at the Battle of Zacatecas in 1914?,"In the Toma de Zacatecas, the single bloodiest battle of the Revolution, Federal casualties numbered approximately 7,000 dead and 5,000 wounded, and unknown numbers of civilian casualties.",Killed in action,1.5
312,3,312-3,Were there many casualties at the Battle of Zacatecas in 1914?,"In the Toma de Zacatecas, the single bloodiest battle of the Revolution, Federal casualties numbered approximately 7,000 dead and 5,000 wounded, and unknown numbers of civilian casualties.",Mexican Revolution,1.5
312,3,312-3,Were there many casualties at the Battle of Zacatecas in 1914?,"In the Toma de Zacatecas, the single bloodiest battle of the Revolution, Federal casualties numbered approximately 7,000 dead and 5,000 wounded, and unknown numbers of civilian casualties.",Battle of Okinawa,1.5
1344,1,1344-1,Who is Sigmund Freud's friend Wilhelm Fliess?,"During this formative period of his work, Sigmund Freud valued on the intellectual and emotional support of his friend Wilhelm Fliess, a Berlin-based ear, nose and throat specialist.",Ear,1.0
1344,1,1344-1,Who is Sigmund Freud's friend Wilhelm Fliess?,"During this formative period of his work, Sigmund Freud valued on the intellectual and emotional support of his friend Wilhelm Fliess, a Berlin-based ear, nose and throat specialist.",Otorhinolaryngology,0.6666666666666666
1344,1,1344-1,Who is Sigmund Freud's friend Wilhelm Fliess?,"During this formative period of his work, Sigmund Freud valued on the intellectual and emotional support of his friend Wilhelm Fliess, a Berlin-based ear, nose and throat specialist.",Sympathy,1.0
1344,1,1344-1,Who is Sigmund Freud's friend Wilhelm Fliess?,"During this formative period of his work, Sigmund Freud valued on the intellectual and emotional support of his friend Wilhelm Fliess, a Berlin-based ear, nose and throat specialist.",Human nose,1.3333333333333333
1344,3,1344-3,Did Sigmund Freud and Wilhelm Fliess collaborate?,They maintained an extensive correspondence from which Sigmund Freud drew on Wilhelm Fliesss speculations on infantile sexuality and bisexuality to elaborate and revise his own ideas.,Bisexuality,2.0
1344,3,1344-3,Did Sigmund Freud and Wilhelm Fliess collaborate?,They maintained an extensive correspondence from which Sigmund Freud drew on Wilhelm Fliesss speculations on infantile sexuality and bisexuality to elaborate and revise his own ideas.,Idea,2.0
1344,3,1344-3,Did Sigmund Freud and Wilhelm Fliess collaborate?,They maintained an extensive correspondence from which Sigmund Freud drew on Wilhelm Fliesss speculations on infantile sexuality and bisexuality to elaborate and revise his own ideas.,Psychosexual development,2.0
1344,3,1344-3,Did Sigmund Freud and Wilhelm Fliess collaborate?,They maintained an extensive correspondence from which Sigmund Freud drew on Wilhelm Fliesss speculations on infantile sexuality and bisexuality to elaborate and revise his own ideas.,Romain Rolland,1.0
1424,2,1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos released a live album.",June Carter Cash,0.0
1424,2,1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos released a live album.",Tori Amos,1.5
1424,2,1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos released a live album.",Love You Live,0.75
1424,2,1424-2,Did Tori Amos go on tour in 2010?,"After a brief tour from June to September 2010, Tori Amos released a live album.","September (Earth, Wind & Fire song)",1.25
1996,1,1996-1,what is the convention on the rights of the child and why was it developed,The Convention on the Rights of the Child was developed in 1989 and is the first legally binding international instrument to incorporate the full range of human rights for children,International human rights instruments,1.3333333333333333
1996,1,1996-1,what is the convention on the rights of the child and why was it developed,The Convention on the Rights of the Child was developed in 1989 and is the first legally binding international instrument to incorporate the full range of human rights for children,Child,1.0
1996,1,1996-1,what is the convention on the rights of the child and why was it developed,The Convention on the Rights of the Child was developed in 1989 and is the first legally binding international instrument to incorporate the full range of human rights for children,Human rights,1.3333333333333333
1996,2,1996-2,what are the rights given by the convention on the rights of the child,"The right to survival; to develop to the fullest; to protection from harmful influences, abuse and exploitation; and to participate fully in family, cultural and social life.",Abuse,0.6666666666666666
1996,2,1996-2,what are the rights given by the convention on the rights of the child,"The right to survival; to develop to the fullest; to protection from harmful influences, abuse and exploitation; and to participate fully in family, cultural and social life.",Morality,1.3333333333333333
1996,2,1996-2,what are the rights given by the convention on the rights of the child,"The right to survival; to develop to the fullest; to protection from harmful influences, abuse and exploitation; and to participate fully in family, cultural and social life.",Society,1.6666666666666667
1996,2,1996-2,what are the rights given by the convention on the rights of the child,"The right to survival; to develop to the fullest; to protection from harmful influences, abuse and exploitation; and to participate fully in family, cultural and social life.",Family,1.6666666666666667
1996,2,1996-2,what are the rights given by the convention on the rights of the child,"The right to survival; to develop to the fullest; to protection from harmful influences, abuse and exploitation; and to participate fully in family, cultural and social life.",Safety,1.0
2187,1,2187-1,Who has to push the rock up the hill,"Sisyphus, king of Ephyra, was punished to roll an immense boulder up a hill only for it to roll down when close to the top, repeating this action for eternity.",Corinth,0.6666666666666666
2187,1,2187-1,Who has to push the rock up the hill,"Sisyphus, king of Ephyra, was punished to roll an immense boulder up a hill only for it to roll down when close to the top, repeating this action for eternity.",Boulder,1.3333333333333333
2187,1,2187-1,Who has to push the rock up the hill,"Sisyphus, king of Ephyra, was punished to roll an immense boulder up a hill only for it to roll down when close to the top, repeating this action for eternity.",Sisyphus,2.0
2209,3,2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.",Billy Unger,1.5
2209,3,2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.",Blue Mountain State,1.25
2209,3,2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.",Paris Berelc,1.0
2209,3,2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.",Jake Short,1.25
2209,3,2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.",Bradley Steven Perry,1.5
2250,2,2250-2,what is the purpose of the four c model of creativity,This model makes a useful framework for analyzing creative processes in individuals.,Software framework,0.5
2250,2,2250-2,what is the purpose of the four c model of creativity,This model makes a useful framework for analyzing creative processes in individuals.,Creativity,1.0
2250,2,2250-2,what is the purpose of the four c model of creativity,This model makes a useful framework for analyzing creative processes in individuals.,Individual,1.5
2250,3,2250-3,what is the first c in the four c model of creativity,"The first c is mini-c, transformative learning involving personally meaningful interpretations of experiences, actions, and insights.",Experience,2.0
2250,3,2250-3,what is the first c in the four c model of creativity,"The first c is mini-c, transformative learning involving personally meaningful interpretations of experiences, actions, and insights.",Insight,1.5
2250,3,2250-3,what is the first c in the four c model of creativity,"The first c is mini-c, transformative learning involving personally meaningful interpretations of experiences, actions, and insights.",Hermeneutics,2.0
2250,3,2250-3,what is the first c in the four c model of creativity,"The first c is mini-c, transformative learning involving personally meaningful interpretations of experiences, actions, and insights.",Action (philosophy),0.5
2317,1,2317-1,where does harry potter get his school supplies,Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley.,Harry Potter,1.0
2317,1,2317-1,where does harry potter get his school supplies,Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley.,Rubeus Hagrid,1.5
