QID,Question,Input.answer_1,Input.answer_2,Input.answer_3,Input.top_N,Preference,Answer.reason
36-3,Tell me about the US Electoral College creation.,"The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens. If you would like to learn more about president of the united states, election or united states congress, feel free to ask!",The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,"The founding fathers established it in the Constitution as a compromise between election (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a vote in Congress (bicameral legislature of the United States) an (head of state and head of government of the United States of America)d el (bicameral legislature of the United States)ection (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a popular vote (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of qualified citizens. (bicameral legislature of the United States)",,wikibase,It depends on the election
36-3,Tell me about the US Electoral College creation.,"The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens. If you would like to learn more about president of the united states, election or united states congress, feel free to ask!",The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,"The founding fathers established it in the Constitution as a compromise between election (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a vote in Congress (bicameral legislature of the United States) an (head of state and head of government of the United States of America)d el (bicameral legislature of the United States)ection (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a popular vote (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of qualified citizens. (bicameral legislature of the United States)",,wikibase,The answer 3 is very cleard explanation of the topic.
36-3,Tell me about the US Electoral College creation.,"The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens. If you would like to learn more about president of the united states, election or united states congress, feel free to ask!",The founding fathers established it in the Constitution as a compromise between election of the President by a vote in Congress and election of the President by a popular vote of qualified citizens.,"The founding fathers established it in the Constitution as a compromise between election (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a vote in Congress (bicameral legislature of the United States) an (head of state and head of government of the United States of America)d el (bicameral legislature of the United States)ection (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a popular vote (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of qualified citizens. (bicameral legislature of the United States)",,prompt,"the United States of America)d el (bicameral legislature of the United States)ection (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of the President (head of state and head of government of the United States of America) by a popular vote (process by which a population chooses an individual to hold public office or some other position, such as in an organization or society) of qualified citizens. (bicameral legislature of the United States)"
2187-2,Why was Sisyphus punished to push the rock up the hill,Sisyphus (king of Ephyra in Greek mythology) was punished f (king of Ephyra in Greek mythology)or his self-aggrandizing craftiness and deceitfulness.,"Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness. If you would like to learn more about sisyphus, feel free to ask!",Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness.,,prompt,"I chose option 2 because not only did it answer the question but it included an open ended option for the person receiving the information, to ask more questions if they wanted."
2187-2,Why was Sisyphus punished to push the rock up the hill,Sisyphus (king of Ephyra in Greek mythology) was punished f (king of Ephyra in Greek mythology)or his self-aggrandizing craftiness and deceitfulness.,"Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness. If you would like to learn more about sisyphus, feel free to ask!",Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness.,,original,it has a short answer and no fluff.
2187-2,Why was Sisyphus punished to push the rock up the hill,Sisyphus (king of Ephyra in Greek mythology) was punished f (king of Ephyra in Greek mythology)or his self-aggrandizing craftiness and deceitfulness.,"Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness. If you would like to learn more about sisyphus, feel free to ask!",Sisyphus was punished for his self-aggrandizing craftiness and deceitfulness.,,original,"I chose Answer_3 because it's both accurate, and the only answer that makes sense grammatically."
38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen. If you would like to learn more about joint or symptom, feel free to ask!","Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.","Joint pain and stiffness, often intermittent, are early Lyme symptoms (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient). Your joints (location at which two or more bones make contact) may be inflamed (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient), warm to the touch, painful, and swollen. (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient)",,wikibase,"Answer 1 answers the question succinctly and then offers more information if you're interested.  Answer 3 really goes into too much detail for what I was asking, going as far as explaining what a joint is and describing inflammation."
38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen. If you would like to learn more about joint or symptom, feel free to ask!","Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.","Joint pain and stiffness, often intermittent, are early Lyme symptoms (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient). Your joints (location at which two or more bones make contact) may be inflamed (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient), warm to the touch, painful, and swollen. (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient)",,wikibase,The are correct for answer
38-3,How does Lyme Disease make you feel?,"Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen. If you would like to learn more about joint or symptom, feel free to ask!","Joint pain and stiffness, often intermittent, are early Lyme symptoms. Your joints may be inflamed, warm to the touch, painful, and swollen.","Joint pain and stiffness, often intermittent, are early Lyme symptoms (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient). Your joints (location at which two or more bones make contact) may be inflamed (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient), warm to the touch, painful, and swollen. (objective indication of a medical fact or characteristic of a disease, injury, or abnormal physiological state that may be detected during the physical examination of a patient)",,prompt,"Erythema migrans is one of the hallmarks of Lyme disease, although not everyone with Lyme disease develops the rash. Some people develop this rash at more than one place on their bodies. Other symptoms. Fever, chills, fatigue, body aches, headache, neck stiffness and swollen lymph nodes can accompany the fast. This is also Lyme diseases effect."
2655-1,where do you find dwellings made of ice who makes them and what are they called,"An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area. If you would like to learn more about greenland or rock shelter, feel free to ask!","An igloo is a type of shelter (shallow cave-like opening at the base of a bluff or cliff) built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands (autonomous country within the Kingdom of Denmark on world's largest island by the same name) Thule area.","An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area.",,original,This explains multiple people who make igloos and their names
2655-1,where do you find dwellings made of ice who makes them and what are they called,"An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area. If you would like to learn more about greenland or rock shelter, feel free to ask!","An igloo is a type of shelter (shallow cave-like opening at the base of a bluff or cliff) built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands (autonomous country within the Kingdom of Denmark on world's largest island by the same name) Thule area.","An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area.",,original,Most concise answer. Gramatically correct. Uses correct punctuation.
2655-1,where do you find dwellings made of ice who makes them and what are they called,"An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area. If you would like to learn more about greenland or rock shelter, feel free to ask!","An igloo is a type of shelter (shallow cave-like opening at the base of a bluff or cliff) built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands (autonomous country within the Kingdom of Denmark on world's largest island by the same name) Thule area.","An igloo is a type of shelter built of snow, often associated with Inuit, Eskimo peoples, and people of Canadas Central Arctic and Greenlands Thule area.",,prompt,VERY GOOD NICE
9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service (branch of governmental service or employees of a government agency) fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician If you would like to learn more about civil service, feel free to ask!",,original,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service (branch of governmental service or employees of a government agency) fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician"
9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service (branch of governmental service or employees of a government agency) fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician If you would like to learn more about civil service, feel free to ask!",,prompt,This answer very easy.
9-3,Tell me about the career options for statistics?,"Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service (branch of governmental service or employees of a government agency) fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician","Jobs directly related to your degree include:Actuarial analyst, Actuary, Civil Service fast streamer, Data analyst, Data scientist, Financial risk analyst, Investment analyst, Market researcher, Operational researcher, Statistician If you would like to learn more about civil service, feel free to ask!",,original,considering that fits my job role most!
30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer (interface that allows binaries for a legacy or foreign system to run on a host system. This translates system calls for the foreign system into native system calls for the host system)” that can run Windows programs directly on your Linux desktop.","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop. If you would like to learn more about compatibility layer, feel free to ask!","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",,wikibase,Explains more about linux
30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer (interface that allows binaries for a legacy or foreign system to run on a host system. This translates system calls for the foreign system into native system calls for the host system)” that can run Windows programs directly on your Linux desktop.","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop. If you would like to learn more about compatibility layer, feel free to ask!","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",,wikibase,Because i know about more linx software and softwares related stuffs so i choosed this option
30-2,Can I run Windows software in Linux?,"Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer (interface that allows binaries for a legacy or foreign system to run on a host system. This translates system calls for the foreign system into native system calls for the host system)” that can run Windows programs directly on your Linux desktop.","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop. If you would like to learn more about compatibility layer, feel free to ask!","Wine is a way to run Windows software on Linux, but with no Windows required. Wine is an open-source “Windows compatibility layer” that can run Windows programs directly on your Linux desktop.",,prompt,"This doesn't overexplain the compatibility layer aspect, making me feel overwhelmed, and allows me to ask about it if I want instead"
28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide (chemical compound) is the climate’s worst enemy. It’s released when oil (naturally occurring flammable liquid), coal, and other fossil fuels are burned for energy—th (chemical compound)e energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money. If you would like to learn more about petroleum or carbon dioxide, feel free to ask!",,original,"It explained just as much as the others with less words, it felt tighter and more direct"
28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide (chemical compound) is the climate’s worst enemy. It’s released when oil (naturally occurring flammable liquid), coal, and other fossil fuels are burned for energy—th (chemical compound)e energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money. If you would like to learn more about petroleum or carbon dioxide, feel free to ask!",,wikibase,Discusses how its worse a lot better than the others
28-3,Are there any methods to prevent global warming getting worse?,"Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide (chemical compound) is the climate’s worst enemy. It’s released when oil (naturally occurring flammable liquid), coal, and other fossil fuels are burned for energy—th (chemical compound)e energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money.","Carbon dioxide is the climate’s worst enemy. It’s released when oil, coal, and other fossil fuels are burned for energy—the energy we use to power our homes, cars, and smartphones. By using less of it, we can curb our own contribution to climate change while also saving money. If you would like to learn more about petroleum or carbon dioxide, feel free to ask!",,prompt,I like the last one because maybe after reading the answer you have more questions so I would feel more comfortable asking them.
2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund. If you would like to learn more about blue mountain state, bradley steven perry or billy unger, feel free to ask!","The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.","The stars in the show (American TV comedy series) are: William Brent (American actor), Bradley Steven Perry (American actor), Jake Short, Paris Berelc, and Kelli Berglund.",,prompt,"Adam, Bree, and Chase, Douglas' children from him"
2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund. If you would like to learn more about blue mountain state, bradley steven perry or billy unger, feel free to ask!","The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.","The stars in the show (American TV comedy series) are: William Brent (American actor), Bradley Steven Perry (American actor), Jake Short, Paris Berelc, and Kelli Berglund.",,original,"William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund."
2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund. If you would like to learn more about blue mountain state, bradley steven perry or billy unger, feel free to ask!","The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.","The stars in the show (American TV comedy series) are: William Brent (American actor), Bradley Steven Perry (American actor), Jake Short, Paris Berelc, and Kelli Berglund.",,prompt,i think it was very good .
2209-3,Who are the stars in Lab Rats: Elite Force,"The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund. If you would like to learn more about blue mountain state, bradley steven perry or billy unger, feel free to ask!","The stars in the show are: William Brent, Bradley Steven Perry, Jake Short, Paris Berelc, and Kelli Berglund.","The stars in the show (American TV comedy series) are: William Brent (American actor), Bradley Steven Perry (American actor), Jake Short, Paris Berelc, and Kelli Berglund.",,wikibase,All Character are correct in this answer.
2723-1,who has home field advantage in the world series,"The Houston Astros (baseball team and Major League Baseball franchise in Houston, Texas, United States) had home-field ad (baseball team and Major League Baseball franchise in Houston, Texas, United States)vantage for the 2019 World series (championship of Major League Baseball). (baseball team and Major League Baseball franchise in Houston, Texas, United States)",The Houston Astros had home-field advantage for the 2019 World series.,"The Houston Astros had home-field advantage for the 2019 World series. If you would like to learn more about houston astros or world series, feel free to ask!",,prompt,good decision
2723-1,who has home field advantage in the world series,"The Houston Astros (baseball team and Major League Baseball franchise in Houston, Texas, United States) had home-field ad (baseball team and Major League Baseball franchise in Houston, Texas, United States)vantage for the 2019 World series (championship of Major League Baseball). (baseball team and Major League Baseball franchise in Houston, Texas, United States)",The Houston Astros had home-field advantage for the 2019 World series.,"The Houston Astros had home-field advantage for the 2019 World series. If you would like to learn more about houston astros or world series, feel free to ask!",,prompt,I want to learn more about the Astros and the World Series.
2723-1,who has home field advantage in the world series,"The Houston Astros (baseball team and Major League Baseball franchise in Houston, Texas, United States) had home-field ad (baseball team and Major League Baseball franchise in Houston, Texas, United States)vantage for the 2019 World series (championship of Major League Baseball). (baseball team and Major League Baseball franchise in Houston, Texas, United States)",The Houston Astros had home-field advantage for the 2019 World series.,"The Houston Astros had home-field advantage for the 2019 World series. If you would like to learn more about houston astros or world series, feel free to ask!",,original,It's succinct and answers the question
